key,country,value,ai_confidence
flag_image,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,90
official_Language_label,Jamaica,English,95
flag_image,State of Palestine,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg,90
official_Language_label,State of Palestine,Arabic,95
highest_point_label,State of Palestine,Mount Nabi Yunis,85
official_Language_label,Serbia,Serbian,95
official_Language_label,Grenada,English,95
official_Language_label,Ecuador,Spanish,95
official_Language_label,Bolivia,Spanish or Quechua or Aymara or Guarani,90
flag_image,Singapore,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,90
anthem_audio,Singapore,unknown,0
official_Language_label,Singapore,English or Malay or Mandarin or Tamil,90
official_Language_label,Iran,Persian,95
flag_image,Federated States of Micronesia,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg,90
official_Language_label,Federated States of Micronesia,English,90
flag_image,Jordan,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,90
official_Language_label,Jordan,Arabic,95
anthem_audio,Tuvalu,unknown,0
official_Language_label,Tuvalu,Tuvaluan or English,90
flag_image,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,90
official_Language_label,Colombia,Spanish,95
official_Language_label,Haiti,Haitian Creole or French,95
flag_image,Nauru,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg,90
anthem_audio,Nauru,unknown,0
official_Language_label,Nauru,Nauruan or English,90
flag_image,Antigua and Barbuda,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,90
official_Language_label,Antigua and Barbuda,English,95
flag_image,Kiribati,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,90
anthem_audio,Kiribati,unknown,0
official_Language_label,Kiribati,Gilbertese or English,90
official_Language_label,Saint Lucia,English,95
flag_image,Panama,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,90
official_Language_label,Panama,Spanish,95
official_Language_label,Kingdom of Denmark,Danish,95
flag_image,Vanuatu,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Vanuatu.svg,90
official_Language_label,Vanuatu,Bislama or English or French,90
flag_image,Myanmar,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,90
official_Language_label,Myanmar,Burmese,95
flag_image,New Zealand,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,90
official_Language_label,New Zealand,English or Maori or New Zealand Sign Language,95
flag_image,North Korea,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,90
anthem_audio,North Korea,unknown,0
official_Language_label,North Korea,Korean,95
flag_image,Tonga,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,90
official_Language_label,Tonga,Tongan or English,95
flag_image,Australia,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,90
official_Language_label,Australia,English,90
flag_image,Pakistan,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,90
official_Language_label,Pakistan,Urdu or English,90
official_Language_label,Bahrain,Arabic,95
flag_image,East Timor,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg,90
official_Language_label,East Timor,Tetum or Portuguese,95
official_Language_label,Paraguay,Spanish or Guarani,95
flag_image,Papua New Guinea,unknown,0
anthem_audio,Papua New Guinea,unknown,0
official_Language_label,Papua New Guinea,Tok Pisin or English or Hiri Motu,90
flag_image,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,90
official_Language_label,Chile,Spanish,95
flag_image,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,90
official_Language_label,Sri Lanka,Sinhala or Tamil,95
flag_image,Mongolia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,90
anthem_audio,Mongolia,unknown,0
official_Language_label,Mongolia,Mongolian,95
anthem_audio,Kuwait,unknown,0
official_Language_label,Kuwait,Arabic,95
official_Language_label,Dominica,English,95
official_Language_label,South Africa,isiZulu or isiXhosa or Afrikaans or English or Sesotho sa Leboa or Setswana or Sesotho or Xitsonga or siSwati or Tshivenda or isiNdebele,90
flag_image,Yemen,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,90
official_Language_label,Yemen,Arabic,95
official_Language_label,Maldives,Dhivehi,95
anthem_audio,Taiwan,unknown,0
official_Language_label,Taiwan,Mandarin,95
flag_image,Nepal,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,90
anthem_audio,Nepal,unknown,0
official_Language_label,Nepal,Nepali,95
flag_image,Fiji,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,90
official_Language_label,Fiji,English or Fijian or Hindi,90
flag_image,Saint Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Saint_Kitts_and_Nevis.svg,90
official_Language_label,Saint Kitts and Nevis,English,95
flag_image,Nicaragua,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,90
official_Language_label,Nicaragua,Spanish,95
anthem_audio,Costa Rica,unknown,0
official_Language_label,Costa Rica,Spanish,95
flag_image,Uzbekistan,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,90
official_Language_label,Uzbekistan,Uzbek,95
flag_image,Guyana,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,90
official_Language_label,Guyana,English,95
flag_image,Qatar,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,90
official_Language_label,Qatar,Arabic,95
official_Language_label,El Salvador,Spanish,95
official_Language_label,Cambodia,Khmer,95
flag_image,Laos,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,90
official_Language_label,Laos,Lao,95
official_Language_label,Peru,Spanish or Quechua or Aymara,95
flag_image,Chad,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,90
official_Language_label,Chad,French or Arabic,90
official_Language_label,The Bahamas,English,95
flag_image,Tajikistan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/1920px-Flag_of_Tajikistan.svg.png,90
official_Language_label,Tajikistan,Tajik,95
official_Language_label,Turkmenistan,Turkmen,95
official_Language_label,Honduras,Spanish,95
flag_image,Thailand,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,90
official_Language_label,Thailand,Thai,95
flag_image,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,90
official_Language_label,Guatemala,Spanish,95
official_Language_label,Oman,Arabic,95
official_Language_label,Argentina,Spanish,95
flag_image,Suriname,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,90
official_Language_label,Suriname,Dutch,95
official_Language_label,Liechtenstein,German,95
flag_image,Marshall Islands,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,90
official_Language_label,Marshall Islands,Marshallese or English,95
flag_image,Armenia,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg,90
official_Language_label,Armenia,Armenian,95
anthem_audio,Iraq,unknown,0
official_Language_label,Iraq,Arabic or Kurdish,95
flag_image,Samoa,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,90
anthem_audio,Samoa,unknown,0
official_Language_label,Samoa,Samoan or English,90
flag_image,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,90
official_Language_label,Algeria,Arabic or Berber,90
