Found 105 fields with multiple values (separator ' or '):

Country: New Zealand | Field: continent_label | Count: 2 | Value: Australian continent or Oceania or Insular Oceania
Country: New Zealand | Field: official_Language_label | Count: 2 | Value: English or Māori or New Zealand Sign Language
Country: Tuvalu | Field: currency_label | Count: 1 | Value: Australian dollar or Tuvaluan dollar
Country: Tuvalu | Field: continent_label | Count: 1 | Value: Insular Oceania or Oceania
Country: Tuvalu | Field: official_Language_label | Count: 1 | Value: Tuvaluan or English
Country: El Salvador | Field: currency_label | Count: 1 | Value: United States dollar or bitcoin
Country: Fiji | Field: official_Language_label | Count: 2 | Value: English or iTaukei or Hindi
Country: Kiribati | Field: capital_label | Count: 1 | Value: Tarawa or South Tarawa
Country: Kiribati | Field: currency_label | Count: 1 | Value: Kiribati dollar or Australian dollar
Country: Kiribati | Field: continent_label | Count: 1 | Value: Oceania or Insular Oceania
Country: Kiribati | Field: official_Language_label | Count: 1 | Value: English or Gilbertese
Country: India | Field: official_Language_label | Count: 1 | Value: Hindi or English
Country: Haiti | Field: official_Language_label | Count: 1 | Value: Haitian Creole or French
Country: Timor-Leste | Field: currency_label | Count: 1 | Value: East Timor centavo coins or United States dollar
Country: Timor-Leste | Field: official_Language_label | Count: 1 | Value: Tetum or Portuguese
Country: Tonga | Field: official_Language_label | Count: 1 | Value: Tongan or English
Country: Panama | Field: currency_label | Count: 1 | Value: United States dollar or Panamanian balboa
Country: Panama | Field: continent_label | Count: 1 | Value: North America or South America
Country: Vanuatu | Field: official_Language_label | Count: 2 | Value: Bislama or English or French
Country: Pakistan | Field: official_Language_label | Count: 1 | Value: Urdu or English
Country: Paraguay | Field: official_Language_label | Count: 1 | Value: Spanish or Guarani
Country: Samoa | Field: official_Language_label | Count: 1 | Value: Samoan or English
Country: Bolivia | Field: capital_label | Count: 1 | Value: La Paz or Sucre
Country: Bolivia | Field: determination_method_label | Count: 1 | Value: de facto or de jure
Country: Bolivia | Field: official_Language_label | Count: 4 | Value: Spanish or Quechua or Aymara or Guarani or other indigenous languages
Country: Papua New Guinea | Field: official_Language_label | Count: 2 | Value: Tok Pisin or English or Hiri Motu
Country: Sri Lanka | Field: capital_label | Count: 1 | Value: Colombo or Sri Jayawardenepura Kotte
Country: Sri Lanka | Field: determination_method_label | Count: 1 | Value: de facto or de jure
Country: Sri Lanka | Field: official_Language_label | Count: 1 | Value: Sinhala or Tamil
Country: Federated States of Micronesia | Field: continent_label | Count: 1 | Value: Oceania or Insular Oceania
